Temperature = 300K
THERMAL DISTRIBUTIONS:
  E, kcal/mol           W0           W1           W2           W3           W4          W5t          W5c           S1
      15.7222  4.21839e+09  2.63056e+09  4.21839e+09  1.79753e+09   2.3818e-12      145.542      153.786      25303.4
      15.6021  4.97943e+09  3.10526e+09  4.97943e+09  2.12211e+09  2.89411e-12      175.907      185.671      30288.7
      15.4821  5.87652e+09  3.66487e+09  5.87652e+09  2.50476e+09  3.51661e-12      212.621      224.176      36217.1
       15.362  6.93371e+09  4.32424e+09  6.93371e+09  2.95583e+09  4.27298e-12      256.959      270.653      43368.5
      15.2419  8.17928e+09  5.10128e+09  8.17928e+09  3.48726e+09  5.19199e-12      310.548      326.762      51892.1
      15.1218  9.64646e+09  6.01657e+09  9.64646e+09  4.11345e+09  6.30865e-12      375.299      394.481      62060.8
      15.0017  1.13742e+10  7.09434e+09  1.13742e+10  4.85081e+09  7.66543e-12       453.54      476.227      74216.5
      14.8817  1.34084e+10  8.36356e+09  1.34084e+10  5.71928e+09  9.31396e-12      548.136       574.91      88658.5
      14.7616  1.58027e+10  9.85727e+09  1.58027e+10   6.7414e+09   1.1317e-11      662.368      693.986       105812
      14.6415  1.86202e+10  1.16151e+10  1.86202e+10  7.94474e+09  1.37506e-11      800.387      837.771       126367
      14.5214  2.19347e+10  1.36835e+10  2.19347e+10  9.36024e+09  1.67075e-11      967.234      1011.24       150777
      14.4013   2.5833e+10  1.61156e+10   2.5833e+10  1.10257e+10     2.03e-11      1168.74      1220.63       180139
      14.2812  3.04167e+10  1.89759e+10  3.04167e+10  1.29838e+10  2.46648e-11      1412.25      1473.23       215072
      14.1612  3.58047e+10  2.23386e+10  3.58047e+10  1.52864e+10  2.99678e-11      1706.49      1778.24       257512
      14.0411  4.21366e+10  2.62893e+10  4.21366e+10  1.79923e+10  3.64108e-11      2061.83       2146.1       308439
       13.921  4.95755e+10  3.09323e+10  4.95755e+10  2.11726e+10  4.42384e-11      2491.19      2590.13       369342
      13.8009  5.83125e+10  3.63853e+10  5.83125e+10   2.4908e+10  5.37485e-11      3009.87      3125.92       442288
      13.6808  6.85712e+10  4.27872e+10  6.85712e+10  2.92953e+10  6.53026e-11      3636.68      3772.56       529156
      13.5607  8.06131e+10  5.03046e+10  8.06131e+10  3.44454e+10  7.93401e-11      4393.86      4552.47       632251
      13.4407  9.47442e+10  5.91246e+10  9.47442e+10  4.04907e+10  9.63946e-11      5307.91      5493.41       756737
      13.3206  1.11322e+11  6.94719e+10  1.11322e+11  4.75833e+10  1.17115e-10      6412.62      6629.31       905338
      13.2005  1.30763e+11  8.16106e+10  1.30763e+11  5.59036e+10  1.42288e-10      7746.86      7999.31  1.08226e+06
      13.0804  1.53557e+11  9.58381e+10  1.53557e+11  6.56601e+10  1.72871e-10      9358.26      9652.59  1.29338e+06
      12.9603  1.80272e+11  1.12517e+11  1.80272e+11  7.70989e+10  2.10025e-10      11305.5      11646.6  1.54355e+06
      12.8402  2.11572e+11  1.32063e+11  2.11572e+11   9.0501e+10  2.55162e-10      13656.6      14053.5  1.83915e+06
      12.7202  2.48234e+11  1.54949e+11  2.48234e+11  1.06206e+11  3.09998e-10      16496.2        16955  2.19624e+06
      12.6001  2.91161e+11  1.81755e+11  2.91161e+11  1.24591e+11  3.76615e-10      19925.4      20456.6  2.62398e+06
        12.48  3.41407e+11  2.13135e+11  3.41407e+11  1.46126e+11  4.57544e-10      24067.4      24679.5  3.14082e+06
      12.3599    4.002e+11  2.49841e+11    4.002e+11  1.71315e+11  5.55856e-10      29072.3        29777  3.76125e+06
      12.2398  4.68971e+11  2.92796e+11  4.68971e+11  2.00807e+11  6.75286e-10      35112.5      35921.7  4.49996e+06
      12.1198  5.49383e+11  3.43018e+11  5.49383e+11  2.35275e+11  8.20372e-10      42408.1        43335  5.36391e+06
      11.9997  6.43374e+11   4.0171e+11  6.43374e+11  2.75598e+11  9.96621e-10      51221.7      52278.7  6.41134e+06
      11.8796  7.53194e+11  4.70328e+11  7.53194e+11  3.22692e+11  1.21073e-09      61859.3        63064  7.64712e+06
      11.7595  8.81464e+11  5.50437e+11  8.81464e+11  3.77741e+11  1.47084e-09      74712.1      76076.2  9.14499e+06
      11.6394  1.03122e+12  6.43983e+11  1.03122e+12  4.42002e+11  1.78682e-09      90232.9      91766.2  1.09203e+07
      11.5193    1.206e+12  7.53212e+11    1.206e+12  5.17041e+11  2.17066e-09       108964       110696  1.30252e+07
      11.3993  1.40991e+12  8.80559e+11  1.40991e+12  6.04604e+11  2.63695e-09       131593       133507  1.54628e+07
      11.2792  1.64769e+12  1.02914e+12  1.64769e+12  7.06728e+11  3.20336e-09       158904       161034  1.83866e+07
      11.1591  1.92486e+12  1.20238e+12  1.92486e+12  8.25818e+11  3.89144e-09       191891       194214   2.1808e+07
       11.039   2.2478e+12  1.40409e+12   2.2478e+12  9.64568e+11  4.72725e-09       231742       234243  2.59314e+07
      10.9189  2.62392e+12  1.63922e+12  2.62392e+12  1.12627e+12  5.74254e-09       279810       282486  3.08537e+07
      10.7988  3.06177e+12  1.91288e+12  3.06177e+12  1.31449e+12  6.97579e-09       337846       340690  3.68138e+07
      10.6788  3.57125e+12  2.23119e+12  3.57125e+12   1.5337e+12  8.47385e-09       407933       410831   4.3845e+07
      10.5587  4.16382e+12  2.60175e+12  4.16382e+12  1.78858e+12  1.02935e-08       492545       495413  5.23271e+07
      10.4386  4.85271e+12  3.03228e+12  4.85271e+12  2.08515e+12  1.25038e-08       594713       597391  6.23756e+07
      10.3185  5.65322e+12  3.53263e+12  5.65322e+12  2.42962e+12  1.51886e-08       717987       720346  7.43632e+07
      10.1984  6.58295e+12  4.11419e+12  6.58295e+12  2.83006e+12  1.84499e-08       866815       868606  8.87711e+07
      10.0784  7.66226e+12  4.78875e+12  7.66226e+12  3.29483e+12  2.24112e-08  1.04649e+06  1.04718e+06  1.05918e+08
      9.95827   8.9146e+12  5.57187e+12   8.9146e+12  3.83455e+12  2.72231e-08  1.26327e+06  1.26262e+06  1.26117e+08
      9.83819  1.03669e+13   6.4805e+12  1.03669e+13   4.4605e+12  3.30678e-08  1.52512e+06  1.52211e+06  1.50264e+08
       9.7181  1.20502e+13  7.53262e+12  1.20502e+13  5.18649e+12  4.01672e-08  1.84106e+06  1.83511e+06   1.7852e+08
      9.59802  1.40002e+13  8.75264e+12  1.40002e+13  6.02745e+12  4.87904e-08   2.2222e+06  2.21223e+06   2.1217e+08
      9.47794   1.6258e+13  1.01653e+13   1.6258e+13   7.0017e+12  5.92643e-08  2.68245e+06  2.66718e+06  2.52052e+08
      9.35786  1.88705e+13  1.17984e+13  1.88705e+13  8.12901e+12  7.19859e-08  3.23791e+06  3.21496e+06  2.99855e+08
      9.23777  2.18915e+13  1.36895e+13  2.18915e+13  9.43371e+12  8.74375e-08   3.9083e+06   3.8755e+06  3.56095e+08
      9.11769  2.53833e+13  1.58742e+13  2.53833e+13  1.09416e+13  1.06205e-07  4.71714e+06  4.67144e+06  4.25267e+08
      8.99761  2.94163e+13  1.83963e+13  2.94163e+13  1.26856e+13  1.28999e-07  5.69331e+06  5.63096e+06   5.0837e+08
      8.87753  3.40717e+13   2.1312e+13  3.40717e+13  1.46968e+13  1.56683e-07  6.87168e+06   6.7874e+06  6.08754e+08
      8.75744  3.94416e+13  2.46714e+13  3.94416e+13  1.70215e+13  1.90307e-07  8.29257e+06  8.18064e+06  7.26451e+08
      8.63736   4.5632e+13  2.85451e+13   4.5632e+13  1.96965e+13  2.31145e-07   1.0008e+07   9.8603e+06  8.67932e+08
      8.51728  5.27629e+13  3.30133e+13  5.27629e+13  2.27865e+13  2.80745e-07  1.20799e+07  1.18824e+07   1.0301e+09
       8.3972  6.09707e+13  3.81468e+13  6.09707e+13  2.63361e+13  3.40987e-07  1.45764e+07  1.43212e+07  1.23081e+09
