    E, kcal/mol    D, mol/kcal         W1->P0
          164.5    1.88298e+08    2.30817e+12
            165    1.90065e+08     2.3112e+12
          165.5    1.91842e+08    2.31424e+12
            166    1.93631e+08    2.31725e+12
          166.5    1.95434e+08    2.32024e+12
            167    1.97247e+08    2.32324e+12
          167.5    1.99076e+08    2.32618e+12
            168    2.00912e+08    2.32916e+12
          168.5    2.02761e+08     2.3321e+12
            169    2.04624e+08    2.33503e+12
          169.5    2.06498e+08    2.33795e+12
            170    2.08385e+08    2.34085e+12
          170.5    2.10285e+08    2.34374e+12
            171    2.12195e+08    2.34663e+12
          171.5     2.1412e+08    2.34949e+12
            172    2.16058e+08    2.35232e+12
          172.5    2.18004e+08     2.3552e+12
            173    2.19967e+08      2.358e+12
          173.5    2.21939e+08    2.36084e+12
            174    2.23924e+08    2.36366e+12
          174.5    2.25925e+08    2.36644e+12
            175    2.27937e+08    2.36921e+12
          175.5     2.2996e+08      2.372e+12
            176    2.31999e+08    2.37475e+12
          176.5    2.34048e+08    2.37751e+12
            177    2.36109e+08    2.38026e+12
          177.5    2.38188e+08    2.38296e+12
            178    2.40276e+08    2.38569e+12
          178.5    2.42378e+08    2.38839e+12
            179    2.44494e+08    2.39107e+12
          179.5    2.46621e+08    2.39377e+12
            180    2.48761e+08    2.39645e+12
          180.5    2.50918e+08    2.39908e+12
            181    2.53085e+08    2.40174e+12
          181.5    2.55267e+08    2.40438e+12
            182    2.57462e+08      2.407e+12
          182.5    2.59669e+08    2.40962e+12
            183    2.61891e+08    2.41222e+12
          183.5    2.64126e+08    2.41482e+12
            184    2.66374e+08    2.41741e+12
          184.5    2.68637e+08    2.41998e+12
            185    2.70912e+08    2.42255e+12
          185.5    2.73201e+08    2.42511e+12
            186    2.75507e+08    2.42763e+12
          186.5    2.77823e+08    2.43017e+12
            187    2.80156e+08    2.43269e+12
          187.5    2.82502e+08    2.43519e+12
            188    2.84861e+08     2.4377e+12
          188.5    2.87234e+08    2.44019e+12
            189    2.89622e+08    2.44267e+12
          189.5    2.92022e+08    2.44515e+12
            190    2.94438e+08    2.44761e+12
          190.5    2.96869e+08    2.45005e+12
            191    2.99311e+08    2.45251e+12
          191.5    3.01772e+08    2.45493e+12
            192    3.04244e+08    2.45735e+12
          192.5    3.06731e+08    2.45977e+12
            193    3.09234e+08    2.46217e+12
          193.5     3.1175e+08    2.46457e+12
            194    3.14281e+08    2.46695e+12
          194.5    3.16828e+08    2.46932e+12
            195    3.19388e+08    2.47169e+12
          195.5    3.21962e+08    2.47406e+12
            196    3.24553e+08    2.47639e+12
          196.5    3.27155e+08    2.47875e+12
            197    3.29777e+08    2.48107e+12
          197.5    3.32412e+08    2.48338e+12
            198    3.35061e+08     2.4857e+12
          198.5    3.37726e+08      2.488e+12
            199    3.40405e+08     2.4903e+12
          199.5    3.43099e+08    2.49259e+12
            200     3.4581e+08    2.49486e+12
          200.5    3.48535e+08    2.49713e+12
            201    3.51275e+08     2.4994e+12
          201.5    3.54032e+08    2.50164e+12
            202    3.56802e+08    2.50389e+12
          202.5    3.59591e+08    2.50611e+12
            203    3.62394e+08    2.50833e+12
          203.5    3.65212e+08    2.51055e+12
            204    3.68045e+08    2.51276e+12
          204.5    3.70895e+08    2.51495e+12
            205    3.73758e+08    2.51716e+12
          205.5     3.7664e+08    2.51933e+12
            206    3.79537e+08     2.5215e+12
          206.5    3.82447e+08    2.52369e+12
            207    3.85377e+08    2.52584e+12
          207.5     3.8832e+08    2.52799e+12
            208    3.91281e+08    2.53013e+12
          208.5    3.94258e+08    2.53226e+12
            209    3.97251e+08    2.53439e+12
          209.5    4.00259e+08    2.53652e+12
            210    4.03286e+08    2.53861e+12
          210.5    4.06326e+08    2.54072e+12
            211    4.09384e+08    2.54282e+12
          211.5    4.12459e+08     2.5449e+12
            212    4.15547e+08      2.547e+12
          212.5    4.18653e+08    2.54907e+12
            213    4.21779e+08    2.55112e+12
          213.5    4.24919e+08    2.55318e+12
            214    4.28076e+08    2.55523e+12
          214.5     4.3125e+08    2.55727e+12
            215    4.34437e+08    2.55932e+12
          215.5    4.37646e+08    2.56134e+12
            216    4.40869e+08    2.56336e+12
          216.5     4.4411e+08    2.56538e+12
            217    4.47368e+08    2.56738e+12
          217.5    4.50644e+08    2.56938e+12
            218    4.53934e+08    2.57138e+12
          218.5    4.57247e+08    2.57334e+12
            219    4.60572e+08    2.57532e+12
          219.5    4.63916e+08     2.5773e+12
            220    4.67277e+08    2.57925e+12
          220.5    4.70654e+08    2.58122e+12
            221     4.7405e+08    2.58317e+12
          221.5    4.77464e+08     2.5851e+12
            222    4.80893e+08    2.58705e+12
          222.5    4.84341e+08    2.58897e+12
            223    4.87808e+08    2.59089e+12
          223.5    4.91289e+08    2.59282e+12
            224    4.94793e+08    2.59471e+12
          224.5    4.98312e+08    2.59661e+12
            225    5.01848e+08    2.59851e+12
          225.5    5.05404e+08    2.60039e+12
            226    5.08977e+08    2.60227e+12
          226.5    5.12566e+08    2.60416e+12
            227    5.16177e+08    2.60601e+12
          227.5    5.19802e+08    2.60788e+12
            228    5.23446e+08    2.60974e+12
          228.5    5.27111e+08    2.61159e+12
            229    5.30791e+08    2.61343e+12
          229.5    5.34492e+08    2.61527e+12
            230    5.38211e+08    2.61709e+12
          230.5    5.41946e+08    2.61892e+12
            231      5.457e+08    2.62074e+12
          231.5    5.49475e+08    2.62255e+12
            232    5.53266e+08    2.62436e+12
          232.5    5.57079e+08    2.62615e+12
            233    5.60908e+08    2.62794e+12
          233.5    5.64757e+08    2.62973e+12
            234    5.68624e+08    2.63151e+12
          234.5     5.7251e+08    2.63328e+12
            235    5.76415e+08    2.63505e+12
          235.5     5.8034e+08    2.63681e+12
            236    5.84283e+08    2.63856e+12
          236.5    5.88244e+08    2.64032e+12
            237    5.92227e+08    2.64205e+12
          237.5    5.96225e+08     2.6438e+12
            238    6.00246e+08    2.64553e+12
          238.5    6.04286e+08    2.64725e+12
            239    6.08344e+08    2.64898e+12
          239.5    6.12421e+08     2.6507e+12
            240     6.1652e+08     2.6524e+12
          240.5    6.20636e+08    2.65411e+12
            241    6.24774e+08     2.6558e+12
          241.5     6.2893e+08    2.65749e+12
            242    6.33105e+08    2.65918e+12
          242.5    6.37302e+08    2.66086e+12
            243    6.41517e+08    2.66254e+12
          243.5    6.45752e+08    2.66421e+12
            244    6.50007e+08    2.66587e+12
          244.5    6.54282e+08    2.66753e+12
            245    6.58576e+08    2.66919e+12
          245.5    6.62893e+08    2.67083e+12
            246    6.67228e+08    2.67248e+12
          246.5    6.71584e+08    2.67411e+12
            247     6.7596e+08    2.67574e+12
          247.5    6.80356e+08    2.67737e+12
            248    6.84773e+08    2.67899e+12
          248.5    6.89211e+08    2.68061e+12
            249    6.93668e+08    2.68222e+12
          249.5    6.98147e+08    2.68382e+12
            250    7.02646e+08    2.68542e+12
          250.5    7.07163e+08    2.68703e+12
            251    7.11706e+08    2.68861e+12
