========================================
c2h6rad_B1_Frequencies_1_0.01.out
0.001 atm
T,P1->P2
450.0,1.14425e-23
460.0,1.56225e-23
470.0,2.13647e-23
480.0,2.92247e-23
490.0,3.99361e-23
500.0,5.44607e-23
510.0,7.40486e-23
520.0,1.00313e-22
530.0,1.35317e-22
540.0,1.81682e-22
550.0,2.42716e-22
560.0,3.22557e-22
570.0,4.26351e-22
580.0,5.60456e-22
590.0,7.32675e-22
600.0,9.52523e-22
610.0,1.23154e-21
620.0,1.58364e-21
630.0,2.02551e-21
640.0,2.57703e-21
650.0,3.26183e-21
660.0,4.10778e-21
670.0,5.14765e-21
680.0,6.41979e-21
690.0,7.96888e-21
700.0,9.84674e-21
800.0,6.52987e-20
900.0,3.10407e-19
1000.0,1.14976e-18
1100.0,3.51925e-18
1200.0,9.27938e-18
1300.0,2.17209e-17
1400.0,4.61526e-17
1500.0,9.05295e-17
1600.0,1.66077e-16
1700.0,2.87871e-16
1800.0,4.75333e-16
1900.0,7.52629e-16
2000.0,1.14894e-15
2100.0,1.69863e-15
2200.0,2.44126e-15
2300.0,3.42152e-15
2400.0,4.68903e-15
2500.0,6.2981e-15
2600.0,8.30738e-15
2700.0,1.07795e-14
2800.0,1.37805e-14
2900.0,1.73796e-14
========================================
c2h6rad_B3_Frequencies_1_0.01.out
0.001 atm
T,P2->P3
290.0,2.63957e-25
300.0,3.07256e-25
310.0,3.60981e-25
320.0,4.28327e-25
330.0,5.13663e-25
340.0,6.22997e-25
350.0,7.6466e-25
360.0,9.50259e-25
370.0,1.19604e-24
380.0,1.52477e-24
390.0,1.96839e-24
400.0,2.57157e-24
410.0,3.39667e-24
420.0,4.5303e-24
430.0,6.0921e-24
440.0,8.24623e-24
450.0,1.12164e-23
460.0,1.53052e-23
470.0,2.09184e-23
480.0,2.85964e-23
490.0,3.9052e-23
500.0,5.32189e-23
510.0,7.23099e-23
520.0,9.78872e-23
530.0,1.31949e-22
540.0,1.7703e-22
550.0,2.36324e-22
560.0,3.13824e-22
570.0,4.14493e-22
580.0,5.44451e-22
590.0,7.11205e-22
600.0,9.239e-22
610.0,1.19361e-21
620.0,1.53369e-21
630.0,1.96011e-21
640.0,2.49191e-21
650.0,3.15168e-21
660.0,3.96603e-21
670.0,4.96625e-21
680.0,6.18888e-21
690.0,7.67647e-21
700.0,9.47832e-21
800.0,6.24026e-20
900.0,2.94659e-19
1000.0,1.08474e-18
