pressure[atm]        = 0.1
temperature[K]       = 200
energy step[1/cm]    = 42
maximum energy[1/cm] = 4170

Bimolecular-to-bimolecular product energy distributions:
  E, kcal/mol       P0->P1
      8.56017  3.93534e-14  3.25524e-17
      8.44008 -3.00521e-14 -2.45384e-17
         8.32  1.19326e-13  9.61758e-17
      8.19992  5.32361e-14  4.23535e-17
      8.07984 -8.20844e-14 -6.44603e-17
      7.95975  5.18692e-14  4.02057e-17
      7.83967 -2.27227e-13 -1.73855e-16
      7.71959  -1.1766e-13 -8.88611e-17
      7.59951  6.17151e-14  4.60083e-17
      7.47942  5.78513e-14  4.25724e-17
      7.35934  8.06341e-14  5.85756e-17
      7.23926  1.44923e-13  1.03929e-16
      7.11918 -4.10193e-13  -2.9041e-16
      6.99909 -8.73516e-14 -6.10578e-17
      6.87901  1.38949e-14  9.58957e-18
      6.75893  1.72498e-13  1.17549e-16
      6.63885  3.17195e-14  2.13439e-17
      6.51876  7.58908e-14  5.04258e-17
      6.39868 -7.37609e-14  -4.8395e-17
       6.2786 -1.75031e-13 -1.13393e-16
      6.15852 -1.75895e-13 -1.12509e-16
      6.03843 -1.15039e-12 -7.26445e-16
      5.91835  9.61751e-13  5.99502e-16
      5.79827  4.30369e-13  2.64773e-16
      5.67819  1.34577e-12  8.17017e-16
       5.5581 -2.35737e-12 -1.41199e-15
      5.43802 -6.25999e-13 -3.69854e-16
      5.31794  3.40934e-14  1.98648e-17
      5.19786  1.00459e-12  5.77119e-16
      5.07777 -2.12848e-12 -1.20537e-15
      4.95769   -2.515e-13 -1.40374e-16
      4.83761 -4.23809e-12 -2.33095e-15
      4.71753  4.45053e-12  2.41165e-15
      4.59744  7.05409e-13  3.76547e-16
      4.47736 -1.65043e-12 -8.67775e-16
      4.35728  1.71076e-12  8.85966e-16
       4.2372  3.05623e-12  1.55902e-15
      4.11711 -4.55828e-12 -2.29056e-15
      3.99703  1.12218e-12  5.55596e-16
      3.87695  1.88143e-12  9.18072e-16
      3.75687  2.90395e-11  1.39728e-14
      3.63678  6.06112e-11  2.87785e-14
       3.5167  2.05132e-10  9.62079e-14
      3.39662  5.41562e-10  2.51207e-13
      3.27654  1.71467e-09  7.87812e-13
      3.15645  5.20222e-09  2.37144e-12
      3.03637  1.51711e-08  6.87418e-12
      2.91629  4.26848e-08  1.92638e-11
      2.79621  1.16948e-07  5.26881e-11
      2.67612  3.11561e-07  1.40483e-10
      2.55604  8.08639e-07  3.65969e-10
      2.43596  2.04617e-06  9.32512e-10
      2.31588  5.05506e-06  2.32851e-09
      2.19579  1.22117e-05  5.70983e-09
      2.07571  2.89273e-05  1.37975e-08
      1.95563  6.74343e-05  3.30003e-08
      1.83555  0.000155208  7.84572e-08
      1.71546  0.000353689  1.86164e-07
      1.59538  0.000799308  4.42269e-07
       1.4753   0.00179287   1.0549e-06
      1.35522   0.00399239  2.53318e-06
      1.23513   0.00882135  6.14122e-06
      1.11505    0.0192926  1.50602e-05
     0.994969     0.041615  3.74536e-05
     0.874887    0.0879497    9.465e-05
     0.754804     0.180152   0.00024354
     0.634722      0.35063  0.000638061
     0.514639     0.623034   0.00169046
     0.394557       0.9345   0.00444885
     0.274474            1     0.011184
     0.154392     0.502732    0.0254345
    0.0343093    0.0119958    0.0509847
   -0.0857732            0    0.0945023
    -0.205856            0     0.166599
    -0.325938            0     0.276538
    -0.446021            0     0.427278
    -0.566103            0      0.60768
    -0.686186            0     0.788274
    -0.806268            0     0.929777
    -0.926351            0            1
     -1.04643            0      0.98845
     -1.16652            0     0.907751
      -1.2866            0     0.783372
     -1.40668            0     0.641774
     -1.52676            0     0.503398
     -1.64685            0     0.380251
     -1.76693            0     0.277764
     -1.88701            0     0.196754
     -2.00709            0     0.135342
     -2.12718            0    0.0904605
     -2.24726            0    0.0587126
     -2.36734            0    0.0369562
     -2.48742            0    0.0225101
     -2.60751            0    0.0132272
     -2.72759            0   0.00746682
     -2.84767            0    0.0040259
     -2.96775            0   0.00205745
     -3.08784            0  0.000986146
     -3.20792            0  0.000436702
       -3.328            0   0.00017471
     -3.44808            0  6.09117e-05
     -3.56817            0  1.73185e-05
     -3.68825            0  3.51075e-06
     -3.80833            0  2.94843e-07

pressure[atm]        = 2
temperature[K]       = 200
energy step[1/cm]    = 42
maximum energy[1/cm] = 4170

Bimolecular-to-bimolecular product energy distributions:
  E, kcal/mol       P0->P1
      11.9225  8.38192e-09
      11.8024  1.07243e-08
      11.6823  1.37158e-08
      11.5622  1.75351e-08
      11.4421  2.24089e-08
      11.3221  2.86259e-08
       11.202  3.65527e-08
      11.0819  4.66551e-08
      10.9618  5.95245e-08
      10.8417  7.59114e-08
      10.7217  9.67675e-08
      10.6016  1.23299e-07
      10.4815  1.57035e-07
      10.3614  1.99909e-07
      10.2413  2.54372e-07
      10.1212   3.2352e-07
      10.0012   4.1127e-07
      9.88107  5.22566e-07
      9.76099  6.63655e-07
      9.64091  8.42414e-07
      9.52083  1.06878e-06
      9.40074  1.35526e-06
      9.28066  1.71762e-06
      9.16058  2.17569e-06
       9.0405  2.75439e-06
      8.92041  3.48502e-06
      8.80033  4.40689e-06
      8.68025  5.56926e-06
      8.56017  7.03387e-06
      8.44008  8.87802e-06
         8.32  1.11984e-05
      8.19992  1.41158e-05
      8.07984  1.77812e-05
      7.95975  2.23827e-05
      7.83967  2.81549e-05
      7.71959  3.53898e-05
      7.59951  4.44507e-05
      7.47942  5.57888e-05
      7.35934  6.99642e-05
      7.23926  8.76711e-05
      7.11918  0.000109769
      6.99909  0.000137322
      6.87901  0.000171643
      6.75893  0.000214354
      6.63885  0.000267455
      6.51876  0.000333407
      6.39868  0.000415238
       6.2786  0.000516666
      6.15852  0.000642251
      6.03843  0.000797581
      5.91835  0.000989485
      5.79827   0.00122631
      5.67819   0.00151821
       5.5581   0.00187758
      5.43802   0.00231945
      5.31794   0.00286202
      5.19786   0.00352734
      5.07777   0.00434199
      4.95769   0.00533797
      4.83761   0.00655373
      4.71753   0.00803529
      4.59744    0.0098376
      4.47736     0.012026
      4.35728    0.0146779
       4.2372    0.0178846
      4.11711    0.0217537
      3.99703     0.026411
      3.87695    0.0320026
      3.75687    0.0386973
      3.63678    0.0466887
       3.5167    0.0561967
      3.39662    0.0674701
      3.27654    0.0807866
      3.15645     0.096455
      3.03637     0.114812
      2.91629     0.136222
      2.79621     0.161066
      2.67612      0.18974
      2.55604     0.222637
      2.43596     0.260129
      2.31588     0.302547
      2.19579     0.350145
      2.07571     0.403059
      1.95563     0.461255
      1.83555     0.524459
      1.71546     0.592072
      1.59538     0.663058
       1.4753     0.735805
      1.35522     0.807944
      1.23513     0.876103
      1.11505     0.935579
     0.994969     0.979865
     0.874887            1
     0.754804     0.983782
     0.634722     0.915424
     0.514639      0.77817
     0.394557     0.566684
     0.274474     0.316661
     0.154392     0.121154
    0.0343093    0.0463628
   -0.0857732    0.0282006
    -0.205856    0.0175678
    -0.325938    0.0110836
    -0.446021   0.00706437
    -0.566103   0.00452739
    -0.686186   0.00289935
    -0.806268   0.00184282
    -0.926351   0.00115633
     -1.04643  0.000714225
     -1.16652  0.000433859
      -1.2866  0.000259226
     -1.40668  0.000152378
     -1.52676  8.80425e-05
     -1.64685   4.9983e-05
     -1.76693  2.78497e-05
     -1.88701  1.52002e-05
     -2.00709   8.1091e-06
     -2.12718  4.21148e-06
     -2.24726  2.12287e-06
     -2.36734  1.03347e-06
     -2.48742  4.83048e-07
     -2.60751  2.14866e-07
     -2.72759   8.9722e-08
