========================================
CH3+OHtripletabs_P8_Energy_1_34.9759.out
--
T,R->P8
2100.0,1.07419e-11
2200.0,1.25618e-11
2300.0,1.45557e-11
2400.0,1.67273e-11
2500.0,1.90803e-11
2600.0,2.16177e-11
2700.0,2.43426e-11
2800.0,2.72576e-11
2900.0,3.03651e-11
3000.0,3.36673e-11
3100.0,3.71663e-11
3200.0,4.08639e-11
3300.0,4.47619e-11
3400.0,4.88619e-11
3500.0,5.31652e-11
3600.0,5.76733e-11
3700.0,6.23874e-11
3800.0,6.73086e-11
3900.0,7.2438e-11
========================================
CH3+OHtripletabs_B1_VariationalEnergy_1_34.9759.out
--
T,R->P8
200.0,4.19554e-18
210.0,6.7739e-18
220.0,1.06974e-17
230.0,1.65329e-17
240.0,2.50227e-17
250.0,3.71164e-17
260.0,5.40027e-17
270.0,7.71408e-17
280.0,1.0829e-16
290.0,1.49536e-16
300.0,2.03319e-16
310.0,2.72447e-16
320.0,3.60122e-16
330.0,4.69948e-16
340.0,6.05942e-16
350.0,7.72539e-16
360.0,9.74599e-16
370.0,1.2174e-15
380.0,1.50663e-15
390.0,1.8484e-15
400.0,2.24921e-15
410.0,2.71597e-15
420.0,3.25593e-15
430.0,3.87673e-15
440.0,4.58635e-15
450.0,5.39311e-15
460.0,6.30563e-15
470.0,7.33283e-15
480.0,8.48391e-15
490.0,9.76835e-15
500.0,1.11958e-14
510.0,1.27764e-14
520.0,1.452e-14
530.0,1.64372e-14
540.0,1.85384e-14
550.0,2.08344e-14
560.0,2.33361e-14
570.0,2.60543e-14
580.0,2.90003e-14
590.0,3.21854e-14
600.0,3.56208e-14
610.0,3.9318e-14
620.0,4.32887e-14
630.0,4.75443e-14
640.0,5.20966e-14
650.0,5.69574e-14
660.0,6.21384e-14
670.0,6.76515e-14
680.0,7.35086e-14
690.0,7.97216e-14
700.0,8.63025e-14
800.0,1.74982e-13
900.0,3.13615e-13
1000.0,5.13952e-13
1100.0,7.8729e-13
1200.0,1.14432e-12
1300.0,1.59503e-12
1400.0,2.14868e-12
1500.0,2.81376e-12
1600.0,3.59805e-12
1700.0,4.50864e-12
1800.0,5.55196e-12
1900.0,6.73386e-12
2000.0,8.05964e-12
2100.0,9.5341e-12
2200.0,1.11616e-11
2300.0,1.29461e-11
2400.0,1.48912e-11
2500.0,1.70001e-11
2600.0,1.92758e-11
2700.0,2.1721e-11
2800.0,2.43382e-11
2900.0,2.71297e-11
3000.0,3.00975e-11
3100.0,3.32435e-11
3200.0,3.65694e-11
3300.0,4.00768e-11
3400.0,4.37673e-11
3500.0,4.76421e-11
3600.0,5.17025e-11
3700.0,5.59497e-11
3800.0,6.03847e-11
3900.0,6.50084e-11
========================================
CH3+OHtripletabs_B1_ImaginaryFrequency_1_0.1.out
--
T,R->P8
200.0,9.65337e-18
210.0,1.46582e-17
220.0,2.18824e-17
230.0,3.21308e-17
