    E, kcal/mol    D, mol/kcal         W1->P0
             56    4.52409e+06    7.79284e+13
           56.1    4.54461e+06    7.80673e+13
           56.2    4.56503e+06    7.82089e+13
           56.3    4.58515e+06    7.83565e+13
           56.4    4.60542e+06    7.85025e+13
           56.5    4.62544e+06    7.86535e+13
           56.6    4.64618e+06    7.87933e+13
           56.7    4.66683e+06    7.89356e+13
           56.8     4.6879e+06    7.90716e+13
           56.9    4.70881e+06    7.92113e+13
             57     4.7293e+06    7.93589e+13
           57.1    4.75007e+06    7.95027e+13
           57.2    4.77066e+06    7.96505e+13
           57.3    4.79139e+06    7.97969e+13
           57.4    4.81273e+06    7.99339e+13
           57.5    4.83377e+06    8.00768e+13
           57.6    4.85499e+06    8.02177e+13
           57.7    4.87615e+06    8.03604e+13
           57.8     4.8972e+06     8.0506e+13
           57.9     4.9183e+06    8.06515e+13
             58    4.93946e+06    8.07968e+13
           58.1    4.96118e+06    8.09341e+13
           58.2    4.98296e+06    8.10711e+13
           58.3    5.00488e+06     8.1207e+13
           58.4    5.02656e+06    8.13475e+13
           58.5    5.04841e+06    8.14864e+13
           58.6    5.07017e+06    8.16274e+13
           58.7    5.09191e+06    8.17698e+13
           58.8    5.11379e+06    8.19108e+13
           58.9    5.13574e+06    8.20516e+13
             59    5.15814e+06    8.21861e+13
           59.1    5.18082e+06    8.23171e+13
           59.2     5.2032e+06    8.24538e+13
           59.3    5.22568e+06      8.259e+13
           59.4    5.24801e+06    8.27292e+13
           59.5    5.27004e+06    8.28743e+13
           59.6    5.29237e+06    8.30154e+13
           59.7    5.31468e+06    8.31578e+13
           59.8    5.33749e+06    8.32932e+13
           59.9    5.36017e+06    8.34316e+13
             60    5.38318e+06    8.35657e+13
           60.1    5.40602e+06    8.37035e+13
           60.2    5.42841e+06     8.3849e+13
           60.3    5.45133e+06    8.39874e+13
           60.4    5.47428e+06    8.41261e+13
           60.5    5.49754e+06    8.42608e+13
           60.6    5.52113e+06    8.43916e+13
           60.7    5.54432e+06    8.45293e+13
           60.8    5.56763e+06    8.46661e+13
           60.9    5.59083e+06    8.48054e+13
             61    5.61389e+06    8.49479e+13
           61.1    5.63717e+06    8.50878e+13
           61.2     5.6607e+06    8.52247e+13
           61.3    5.68516e+06    8.53487e+13
           61.4    5.70929e+06    8.54785e+13
           61.5    5.73342e+06    8.56092e+13
           61.6    5.75727e+06    8.57451e+13
           61.7    5.78123e+06    8.58801e+13
           61.8    5.80508e+06    8.60177e+13
           61.9    5.82901e+06     8.6155e+13
             62    5.85337e+06    8.62867e+13
           62.1    5.87755e+06    8.64221e+13
           62.2    5.90212e+06    8.65527e+13
           62.3    5.92691e+06    8.66808e+13
           62.4    5.95136e+06    8.68148e+13
           62.5    5.97588e+06    8.69488e+13
           62.6    6.00045e+06    8.70828e+13
           62.7    6.02487e+06    8.72199e+13
           62.8       6.05e+06    8.73476e+13
           62.9    6.07468e+06    8.74826e+13
             63    6.09977e+06    8.76126e+13
           63.1    6.12468e+06     8.7746e+13
           63.2    6.14984e+06    8.78767e+13
           63.3    6.17481e+06    8.80112e+13
           63.4    6.19946e+06     8.8151e+13
           63.5    6.22489e+06    8.82804e+13
           63.6    6.25069e+06    8.84056e+13
           63.7     6.2764e+06    8.85328e+13
           63.8    6.30234e+06    8.86578e+13
           63.9    6.32781e+06    8.87903e+13
             64    6.35336e+06    8.89225e+13
           64.1    6.37875e+06    8.90578e+13
           64.2    6.40401e+06    8.91957e+13
           64.3    6.42997e+06    8.93248e+13
           64.4    6.45584e+06    8.94559e+13
           64.5    6.48257e+06     8.9576e+13
