    E, kcal/mol    D, mol/kcal        W1->W2a         W1->P1
           19.6    1.56814e+11    3.11896e+11     2.7474e+11    7.35745e+12
           19.8    1.60348e+11    3.16649e+11    2.81191e+11    7.38008e+12
             20    1.63953e+11    3.21442e+11     2.8774e+11    7.40264e+12
    E, kcal/mol    D, mol/kcal       W2b->W3b       W2b->W2a        W2b->P2
            -10    2.79445e+09    4.96784e+07    3.20548e+12              0
           -9.8    2.89563e+09    6.31205e+07    3.23141e+12              0
           -9.6    3.00001e+09    7.93247e+07    3.25735e+12              0
           -9.4    3.10765e+09    9.86602e+07     3.2833e+12              0
           -9.2    3.21889e+09    1.21528e+08    3.30903e+12              0
             -9    3.33373e+09    1.48379e+08    3.33461e+12              0
           -8.8    3.45215e+09    1.79697e+08     3.3602e+12              0
           -8.6    3.57419e+09    2.15981e+08    3.38584e+12              0
           -8.4    3.70009e+09    2.57719e+08    3.41139e+12              0
           -8.2    3.82983e+09    3.05417e+08    3.43697e+12              0
             -8    3.96346e+09    3.59591e+08    3.46261e+12              0
           -7.8    4.10137e+09    4.20758e+08    3.48807e+12              0
           -7.6    4.24371e+09    4.89491e+08    3.51334e+12              0
           -7.4    4.39041e+09    5.66433e+08    3.53856e+12              0
           -7.2    4.54144e+09    6.52269e+08    3.56387e+12              0
             -7    4.69704e+09    7.47666e+08    3.58914e+12              0
           -6.8    4.85729e+09    8.53319e+08    3.61442e+12              0
           -6.6    5.02226e+09    9.69924e+08    3.63972e+12              0
           -6.4    5.19245e+09     1.0981e+09    3.66479e+12              0
           -6.2    5.36793e+09    1.23856e+09    3.68969e+12              0
             -6    5.54846e+09    1.39214e+09    3.71466e+12              0
           -5.8    5.73431e+09    1.55959e+09    3.73962e+12              0
           -5.6    5.92569e+09     1.7417e+09    3.76452e+12              0
           -5.4    6.12263e+09    1.93934e+09    3.78942e+12              0
           -5.2    6.32527e+09    2.15336e+09    3.81433e+12              0
             -5    6.53398e+09    2.38453e+09    3.83911e+12              0
           -4.8    6.74897e+09    2.63367e+09    3.86373e+12              0
           -4.6    6.97022e+09    2.90169e+09    3.88831e+12              0
           -4.4    7.19779e+09    3.18952e+09    3.91288e+12              0
           -4.2     7.4319e+09    3.49802e+09    3.93743e+12              0
             -4    7.67262e+09    3.82816e+09      3.962e+12              0
           -3.8    7.92013e+09    4.18085e+09    3.98657e+12              0
           -3.6    8.17497e+09    4.55684e+09    4.01096e+12              0
           -3.4    8.43729e+09    4.95706e+09    4.03519e+12              0
           -3.2      8.707e+09    5.38261e+09     4.0594e+12              0
             -3    8.98408e+09    5.83458e+09    4.08368e+12              0
           -2.8    9.26905e+09     6.3137e+09    4.10787e+12              0
           -2.6    9.56191e+09    6.82107e+09    4.13207e+12              0
           -2.4    9.86293e+09    7.35758e+09    4.15622e+12              0
           -2.2    1.01725e+10    7.92402e+09    4.18025e+12              0
             -2    1.04909e+10    8.52137e+09    4.20416e+12              0
           -1.8     1.0818e+10    9.15073e+09    4.22805e+12              0
           -1.6    1.11541e+10    9.81311e+09    4.25191e+12              0
           -1.4    1.14994e+10    1.05094e+10    4.27572e+12              0
           -1.2    1.18541e+10    1.12408e+10    4.29953e+12              0
             -1    1.22183e+10    1.20082e+10    4.32334e+12              0
           -0.8    1.25926e+10    1.28122e+10    4.34701e+12              0
           -0.6    1.29774e+10    1.36537e+10    4.37053e+12              0
           -0.4    1.33726e+10     1.4534e+10    4.39403e+12              0
           -0.2    1.37783e+10    1.54542e+10    4.41752e+12              0
   -6.93946e-15    1.41947e+10    1.64153e+10    4.44099e+12              0
            0.2    1.46223e+10    1.74183e+10    4.46443e+12              0
            0.4    1.50612e+10     1.8464e+10    4.48783e+12              0
            0.6     1.5512e+10    1.95534e+10    4.51112e+12              0
            0.8     1.5975e+10    2.06872e+10    4.53429e+12              0
              1    1.64501e+10    2.18668e+10    4.55744e+12              0
            1.2    1.69376e+10    2.30935e+10    4.58058e+12              0
            1.4     1.7438e+10    2.43678e+10    4.60364e+12         308313
            1.6    1.79514e+10    2.56911e+10    4.62669e+12    5.03617e+07
            1.8     1.8478e+10    2.70644e+10    4.64971e+12    2.74671e+08
              2    1.90185e+10    2.84882e+10    4.67264e+12    7.95356e+08
            2.2    1.95733e+10    2.99635e+10    4.69545e+12    1.76904e+09
            2.4    2.01425e+10    3.14915e+10     4.7182e+12     3.2412e+09
            2.6    2.07261e+10    3.30737e+10    4.74095e+12    5.32492e+09
            2.8    2.13247e+10    3.47109e+10    4.76366e+12    8.03103e+09
              3    2.19384e+10    3.64042e+10    4.78635e+12    1.13712e+10
            3.2    2.25678e+10    3.81543e+10      4.809e+12    1.53716e+10
            3.4    2.32135e+10    3.99618e+10    4.83153e+12    2.00688e+10
            3.6    2.38758e+10    4.18277e+10    4.85396e+12    2.52922e+10
            3.8    2.45547e+10    4.37536e+10    4.87636e+12    3.12265e+10
              4    2.52506e+10    4.57407e+10    4.89874e+12    3.78739e+10
            4.2     2.5964e+10    4.77896e+10    4.92107e+12    4.50224e+10
            4.4    2.66952e+10    4.99015e+10    4.94336e+12    5.26239e+10
            4.6    2.74445e+10    5.20773e+10    4.96562e+12     6.0628e+10
            4.8    2.82128e+10    5.43176e+10    4.98779e+12    6.89435e+10
              5    2.90003e+10    5.66231e+10    5.00987e+12    7.77534e+10
            5.2    2.98073e+10    5.89955e+10     5.0319e+12    8.72606e+10
            5.4    3.06341e+10    6.14356e+10    5.05389e+12    9.75156e+10
            5.6    3.14812e+10    6.39446e+10    5.07584e+12    1.08474e+11
            5.8    3.23489e+10    6.65238e+10    5.09778e+12    1.20281e+11
              6    3.32377e+10    6.91735e+10    5.11966e+12    1.33036e+11
            6.2    3.41485e+10    7.18945e+10    5.14146e+12    1.46732e+11
            6.4    3.50818e+10    7.46872e+10    5.16316e+12    1.61407e+11
            6.6    3.60376e+10    7.75535e+10    5.18481e+12    1.76926e+11
            6.8    3.70163e+10    8.04948e+10    5.20645e+12    1.92909e+11
              7    3.80185e+10    8.35114e+10    5.22804e+12    2.09144e+11
            7.2    3.90447e+10    8.66046e+10    5.24959e+12    2.25373e+11
            7.4    4.00955e+10    8.97751e+10     5.2711e+12    2.41799e+11
            7.6    4.11716e+10    9.30232e+10    5.29252e+12    2.58928e+11
            7.8    4.22736e+10    9.63498e+10    5.31386e+12    2.76733e+11
              8    4.34017e+10    9.97564e+10    5.33516e+12    2.95132e+11
            8.2    4.45565e+10    1.03244e+11    5.35642e+12    3.14271e+11
            8.4    4.57384e+10    1.06814e+11    5.37764e+12    3.34361e+11
            8.6    4.69479e+10    1.10466e+11    5.39882e+12    3.55516e+11
            8.8    4.81858e+10    1.14203e+11    5.41997e+12    3.77582e+11
              9     4.9453e+10    1.18023e+11    5.44103e+12    4.00699e+11
            9.2      5.075e+10    1.21927e+11    5.46201e+12    4.24901e+11
            9.4    5.20773e+10    1.25917e+11    5.48293e+12    4.50134e+11
