========================================,
meqz_W1_Energy_1_0.0.out,
0.1 atm,
T,W2->P1
470,2.46E-13
480,2.47E-13
490,2.48E-13
500,2.49E-13
510,2.50E-13
520,2.52E-13
530,2.53E-13
540,2.54E-13
550,2.56E-13
560,2.58E-13
570,2.59E-13
580,2.61E-13
590,2.63E-13
600,2.65E-13
610,2.67E-13
620,2.69E-13
630,2.71E-13
640,2.73E-13
650,2.76E-13
660,2.78E-13
670,2.80E-13
680,2.83E-13
690,2.86E-13
700,2.88E-13
800,3.19E-13
900,3.57E-13
1000,4.01E-13
1100,4.53E-13
1200,5.10E-13
1300,5.74E-13
1400,6.44E-13
1500,7.20E-13
1600,8.03E-13
1700,8.92E-13
1800,9.86E-13
1900,1.09E-12
2000,1.19E-12
2100,1.31E-12
2200,1.43E-12
2300,1.55E-12
2400,1.68E-12
2500,1.82E-12
2600,1.96E-12
2700,2.11E-12
2800,2.26E-12
2900,2.42E-12
3000,2.58E-12
========================================,
meqz_W1_Energy_1_0.0.out,
3 atm,
T,P1->P2
200,1.99E-13
210,2.05E-13
220,2.09E-13
230,2.13E-13
240,2.16E-13
250,2.18E-13
260,2.20E-13
270,2.22E-13
280,2.24E-13
290,2.25E-13
300,2.26E-13
310,2.27E-13
320,2.28E-13
330,2.29E-13
340,2.29E-13
350,2.30E-13
360,2.31E-13
370,2.32E-13
380,2.32E-13
390,2.33E-13
400,2.34E-13
410,2.35E-13
420,2.36E-13
430,2.36E-13
440,2.37E-13
450,2.38E-13
460,2.39E-13
470,2.41E-13
480,2.42E-13
490,2.43E-13
500,2.44E-13
510,2.46E-13
520,2.47E-13
530,2.49E-13
540,2.51E-13
550,2.52E-13
560,2.54E-13
570,2.56E-13
580,2.58E-13
590,2.60E-13
600,2.62E-13
610,2.64E-13
620,2.66E-13
630,2.69E-13
640,2.71E-13
650,2.73E-13
660,2.76E-13
670,2.78E-13
680,2.81E-13
690,2.84E-13
700,2.86E-13
800,3.18E-13
900,3.56E-13
1000,4.01E-13
1100,4.52E-13
1200,5.10E-13
1300,5.74E-13
1400,6.44E-13
1500,7.20E-13
1600,8.03E-13
1700,8.92E-13
1800,9.86E-13
1900,1.09E-12
2000,1.19E-12
2100,1.31E-12
2200,1.43E-12
2300,1.55E-12
2400,1.68E-12
2500,1.82E-12
2600,1.96E-12
2700,2.11E-12
2800,2.26E-12
2900,2.42E-12
3000,2.58E-12
========================================,
meqz_W1_Energy_1_0.0.out,
5.0 atm,
T,P1->P2
200,1.64E-13
210,1.70E-13
220,1.76E-13
230,1.81E-13
240,1.85E-13
250,1.89E-13
260,1.93E-13
270,1.96E-13
280,1.98E-13
290,2.01E-13
300,2.03E-13
310,2.05E-13
320,2.07E-13
330,2.09E-13
340,2.11E-13
350,2.13E-13
360,2.14E-13
370,2.16E-13
380,2.17E-13
390,2.19E-13
400,2.20E-13
410,2.22E-13
420,2.23E-13
430,2.25E-13
440,2.26E-13
450,2.28E-13
460,2.29E-13
470,2.31E-13
480,2.33E-13
490,2.34E-13
500,2.36E-13
510,2.38E-13
520,2.40E-13
530,2.42E-13
540,2.44E-13
550,2.46E-13
560,2.48E-13
570,2.50E-13
580,2.52E-13
590,2.54E-13
600,2.57E-13
610,2.59E-13
620,2.62E-13
630,2.64E-13
640,2.67E-13
650,2.69E-13
660,2.72E-13
670,2.75E-13
680,2.77E-13
690,2.80E-13
700,2.83E-13
800,3.16E-13
900,3.55E-13
1000,4.00E-13
1100,4.51E-13
1200,5.09E-13
1300,5.73E-13
1400,6.43E-13
1500,7.20E-13
1600,8.03E-13
1700,8.91E-13
1800,9.86E-13
1900,1.09E-12
2000,1.19E-12
2100,1.31E-12
2200,1.43E-12
2300,1.55E-12
2400,1.68E-12
2500,1.82E-12
2600,1.96E-12
2700,2.11E-12
2800,2.26E-12
2900,2.42E-12
3000,2.58E-12
