    E, kcal/mol    D, mol/kcal         W1->P0
          243.5    6.45752e+08    9.58472e+13
            244    6.50007e+08    9.59071e+13
          244.5    6.54282e+08    9.59669e+13
            245    6.58576e+08    9.60265e+13
          245.5    6.62893e+08    9.60855e+13
            246    6.67228e+08    9.61448e+13
          246.5    6.71584e+08    9.62036e+13
            247     6.7596e+08    9.62623e+13
          247.5    6.80356e+08    9.63209e+13
            248    6.84773e+08    9.63792e+13
          248.5    6.89211e+08    9.64372e+13
            249    6.93668e+08    9.64952e+13
          249.5    6.98147e+08    9.65529e+13
            250    7.02646e+08    9.66104e+13
          250.5    7.07163e+08    9.66682e+13
            251    7.11706e+08    9.67251e+13
          251.5    7.16268e+08     9.6782e+13
            252     7.2085e+08    9.68388e+13
          252.5    7.25453e+08    9.68954e+13
            253    7.30075e+08    9.69521e+13
          253.5    7.34719e+08    9.70085e+13
            254    7.39386e+08    9.70644e+13
          254.5    7.44073e+08    9.71203e+13
            255    7.48781e+08    9.71761e+13
          255.5    7.53511e+08    9.72316e+13
            256     7.5826e+08    9.72872e+13
          256.5    7.63034e+08    9.73422e+13
            257    7.67828e+08    9.73972e+13
          257.5    7.72643e+08    9.74521e+13
            258    7.77479e+08    9.75068e+13
          258.5    7.82337e+08    9.75614e+13
            259    7.87216e+08    9.76158e+13
          259.5    7.92118e+08    9.76699e+13
            260    7.97041e+08    9.77239e+13
          260.5    8.01984e+08     9.7778e+13
            261    8.06952e+08    9.78315e+13
          261.5    8.11939e+08    9.78852e+13
            262    8.16951e+08    9.79384e+13
          262.5    8.21985e+08    9.79914e+13
            263    8.27038e+08    9.80446e+13
          263.5    8.32115e+08    9.80975e+13
            264    8.37216e+08    9.81499e+13
          264.5    8.42337e+08    9.82026e+13
            265    8.47481e+08    9.82549e+13
          265.5    8.52649e+08    9.83069e+13
            266    8.57835e+08    9.83592e+13
          266.5    8.63046e+08     9.8411e+13
            267    8.68281e+08    9.84627e+13
          267.5    8.73539e+08    9.85141e+13
            268    8.78818e+08    9.85654e+13
          268.5    8.84119e+08    9.86167e+13
            269    8.89442e+08     9.8668e+13
          269.5    8.94791e+08    9.87188e+13
            270    9.00161e+08    9.87696e+13
          270.5    9.05555e+08    9.88202e+13
            271    9.10972e+08    9.88706e+13
          271.5     9.1641e+08     9.8921e+13
            272    9.21874e+08    9.89711e+13
          272.5    9.27361e+08     9.9021e+13
            273     9.3287e+08    9.90708e+13
          273.5    9.38402e+08    9.91206e+13
            274    9.43959e+08    9.91701e+13
          274.5    9.49537e+08    9.92197e+13
            275    9.55141e+08    9.92687e+13
          275.5    9.60767e+08    9.93179e+13
